,lyricid,lyricinfo,length
0,"Pandas(Index=0, LYRICS=""qui pense a l'amour, a l'amour, qui pense a l'amour, a l'amour, on se perd dans ce boulot d'enfer, t'es comme un milliardaire, elle a pas le temps, sauf pour ses affaires, on est comme des courants d'air, a rebours le compteur de nos jours, nous stressa toujours, tu t'agites, tu cours ou tu flippes, on dit que c'est la vie d'artiste, mais. qui pense a l'amour, a l'amour, qui pense a l'amour, a l'amour, si on pouvait s'arreter, on jure qu'on le ferait, mais au fond de nos sens, y a la vie qui avance, les gamins, les vacances, pourquoi pas tout plaquer, qui pense a l'amour, a l'amour, qui pense a l'amour, a l'amour, qui pense a l'amour, a l'amour, qui pense a l'amour, a l'amour, ou va la vie, y a des moments d'ennui, ou tu te demandes, si t'as tout compris, pourquoi on vit, le coeur en transparence, comme un oubli, faut qu'on y pense."")",vie,1
1,"Pandas(Index=1, LYRICS=""on va faire tomber tous les murs, entre l'amour et puis l'amour, comme un retour vers le futur, comme un premier bonheur du jour, ressuciter l'espoir le plus fou, c'est comme un cri qui chante en nous, mepriser l'arrogance, faire parler les silences, en mots plus doux, plus tendres, aimer ceux qui derangent, comme l'oiseau, je m'envole, tout en moi se libere, je n'ai plus de frontieres, folle, je ne suis pas folle, j'ai le coeur farandole, et l'amour pour baniere, le temps va refaire notre histoire, y'a plus de honte a ma memoire, l'amour a gueri ses blessures, il a fait tomber tous les murs, ressusciter l'espoir le plus fou, c'est comme un cri qui chante en nous, mepriser l'arrogance, faire parler les silences, en mots plus doux, plus tendres, mon bonheur est immense"")",pas,1
2,"Pandas(Index=2, LYRICS=""tu sais plus pourquoi t'es la, si tu t'ressembles ou pas, t'oublies meme de rever la nuit, tu telephones aux hommes, qui t'ont chante la pomme, tu t'prends a envier tes amis, et tu t'demandes ce que tu fous la, si repeindre ta chambre, changerait tout ca, pourquoi pas l'exotisme, mets un maillot sympa, prends le ton air d'actrice en vacances, pourquoi pas, pourquoi pas l'exotisme, l'express san francisco, ouvres les yeux, pourquoi faner dans ce ghetto, lentement tu desesperes, tu t'perds dans ce desert, entre un ordi et l'ordinaire, tu dechaines tes coleres, quand tu t'ramasses a terre, la galere n'a rien pour te plaire, et tu tangues au beau milieu, de cette ville qui flanche, c'est quoi que tu veux, oh, mais t'es si belle dans la tete, meme tes yeux, sont le reflet d'une vie en fete, oh, tu peux t'en aller, sur une ile du pacifique, pourquoi pas l'exotisme"")",entre,1
3,"Pandas(Index=3, LYRICS=""je serai toujours la c'est une promesse, que j'ai faite la comme une caresse, les mots du coeur sont merveilleux, je sais l'amour s'appelle nous deux, j'connais ton coeur, j'connais ton corps par coeur, meme quand tu blesses c'est la tendresse qui pleure, faut que j'te dise a tout moment j'ai peur, si peur de me bruler le coeur, j'm'arreterai pas de t'aimer, quoiqu'il arrive je sais, t'mentir ca m'sert a rien, et tout te dire, ca m'fait du bien, j'tai toujours dis la verite, celle d'aujourd'hui a tout change, c'est le grand homme qui a decide, du reste il a fallu trancher, j'm'arreterai pas de t'aimer, ce sera mon petit secret, comme un jardin discret, qui voudrait fleurir, dans ton coeur"")",coeur,1
4,"Pandas(Index=4, LYRICS=""le jour ou tu partiras, bien plus loin qu'ici, ailleurs ou la-bas, ce jour-la, au moins previens moi, j'allumerai des bougies en memoire de toi, et comme tu les aimais tant, ces odeurs de canelle, je brulerai de l'encens, pour ton coeur infidele, ce n'est pas que je crains pour l'amour, mais qu'a force de moi, tu te lasses un beau jour, je sais ton amour est discret, il fantasme en secret, mais l'amour c'est l'amour, le jour ou tu partiras, pretextant sans complexes, l'abus de mes caresses, ce jour la, j'accuserai tes bras, d'abandon de tendresse, et de fausses promesses, le jour ou tu partiras, quittant notre chez toi, mon coeur voudra se taire, dans ce vide qui m'encombre deja, sans l'echo de ta voix, je serai prisonniere, le jour ou tu partiras, laisse moi ton adresse, je t'ecrirai tendresse, ce jour la au moins previens moi, je me poste chez moi, besoin d'amour express, non tu ne partiras pas, partiras pas, partiras pas."")",jour,1
5,"Pandas(Index=5, LYRICS=""petit homme, p'tit bonhomme d'aujourd'hui, tu t'etonnes de cette etrange vie, pour un homme, un inconnu, un dieu que t'as jamais vu, on se bat tu t'demandes pourquoi, il suffit d'un eclair, pour dechainer le bruit du tonnere, il suffit d'un eclair, pour que coule bien trop de larmes ameres, tous ces canons inutiles, je te sens tellement fragile, pourquoi ces eclairs, petit gars t'avances pas dans cette vie, trop petit, l'univers de tes nuits, a l'ecole on t'apprend l'amour, d'une loi sainte cousue de velours, pour laquelle tu te battras un jour. pourquoi ces eclairs, et cette envie de vivre qui s'eveille, pour qui la misere, ou es-tu dieu le pere, ou es-tu, ou es-tu, ou es-tu"")",pas,1
6,"Pandas(Index=6, LYRICS=""non j'veux pas chanter, sur des mots qui pleurent, comme le cri d'un violon trop noir, nous on voit la vie avec les yeux du coeur, rien nous empechera d'y croire, croire au nouveau monde, qu'on a dans la tete, croire en nous pour changer demain, croire meme aux mensonges, si ca les arrete, croire aux lignes de nos mains, croire au ciel inonde d'oiseaux, croire encore a l'espace de tes bras, croire a la couleur de ta peau, croire qu'on marchera plus au pas, croire au temps quand on a vingt ans, croire qu'on peut construire, sur un sol volcan, croire qu'on peut crier au fou, quand on a l'amour en nous"")",croire,1
7,"Pandas(Index=7, LYRICS=""et ton visage au bout des doigts, je prends la forme de l'avenir, c'est un chemin tout droit, c'est un grand sourire, on n'a rien a perdre meme si, l'inconnu, peut nous surprendre au coin de la rue, puisque c'est l'amour, prenons l'amour, comme on prendrait le droit de vivre, et si c'est un reve, faisons d'un reve, la realite d'aimer, de flamme ou de pluie, de corps ou d'esprit, et sans jamais compter les jours, de joies et de peine, prenons ceux qui viennent, puisque c'est l'amour, s'il y a des pierres sur le chemin, il suffira de leur parler, de les prendre en mains, les apprivoiser, on a vu des pierres se changer en or, des cailloux devenir des tresors, quand l'un s'en ira, l'autre l'attendra, on s'aimera chacun son tour, les coeurs se reprennent, au bord de la haine, puisque c'est l'amour, oh.meme les blessures s'effacent, les heures brisees se remplacent, vouloir.il suffit de vouloir, non rien n'est classe, ni rompu, ni perdu, tant qu'on a garde l'espoir, de flamme ou de pluie, de corps ou d'esprit, sans jamais compter les jours, de joies et de peines, prenons ceux qui viennent, quand l'amour est la, les coeurs se reprennent, au bord de la haine, puisque c'est l'amour"")",des,1
8,"Pandas(Index=8, LYRICS='un bout de mer, tout s\'accelere, jamais moyen de retourner en arriere, un bout de ciel, des mauvaises nouvelles, de l\'autre hemisphere, la meteo, soleil tout la-haut, sauf pour ceux qui brulent de froid en enfer, tourbillon, desinformation, c\'est partout l\'hiver, dans ma memoire, seul devant les chars, un homme debout a fait avancer, l\'histoire, et pourtant, rien n\'est different, la guerre, les gens, tout se brouille, devant mes yeux, et je ne comprends plus du tout qui mene le jeu, cette voix de fer, me dit tout va de travers""')",jamais,1
9,"Pandas(Index=9, LYRICS=""la difference, celle qui derange, une preference, un etat d'ame, une circonstance, un corps a corps, en desaccord, avec les gens trop bien pensant, les moeurs d'abord, leur peau ne s'etonnera jamais des differences, elles se ressemblent, se touchent, comme ces deux hommes qui dansent, sans jamais parler, sans jamais crier, ils s'aiment en silence, sans jamais mentir, ni se retourner, ils se font confiance, si vous saviez comme ils se foutent, de nos injures, ils preferent l'amour, surtout le vrai, a nos murmures, lls parlent souvent, des autres gens, qui s'aiment si fort, qui s'aiment comme on dit normalement, de cet enfant, tellement absent, de ce mal du sang qui court, et tue si librement, leurs yeux ne s'eloigneront jamais par negligence, ils se reconnaissent, s'apprivoisent, comme ces deux femmes qui dansent, sans jamais parler, sans jamais crier, elles s'aiment en silence, sans jamais mentir, ni se retourner, elles se font confiance, si vous saviez comme ils se foutent, de nos injures, ils preferent l'amour, surtout le vrai, a nos murmures, de verlaine a rimbaud, quand on y pense, on tolere l'exceptionnelle difference, la difference, quand on y pense, mais quelle difference"")",jamais,1
